Sr No,Authors,Title,Abstract,Author Keywords,Cited by,Source title,Year
11,Sila I.,Factors affecting the adoption of B2B e-commerce technologies,"The objective of this study is to analyze the factors affecting the adoption of Internet-enabled business-to-business electronic commerce (B2B EC) and test their applicability in different contexts. We used 275 responses from an online survey of North American firms and tested our hypotheses with Multiple Regression and Analysis of Variance (ANOVA). We found that scalability is the biggest contributor to B2B EC usage. We also compared each adoption factor across adopters and nonadopters of B2B EC. Six of the nine adoption factors tested distinguished adopters of B2B EC from nonadopters. Then we analyzed the effects of these factors on adoption using several contextual variables, including firm size, firm type, management level of respondents, and country of origin of firms. The results showed that all of the contextual variables, except country of origin, influenced some of the adoption factors. Managers can use the findings of this study to understand which factors will most likely facilitate the implementation of B2B EC and be prepared to manage the effects of these factors on their initiatives more effectively. Many of the studies in this area have not tested the effects of contextual variables on B2B EC adoption. Thus, we contribute to the limited literature on this issue. The study shows that the technology-organization-environment (TOE) framework provides a strong foundation for the study of B2B EC. It also provides evidence that this framework is strengthened further when contextual variables are integrated into the theoretical model. © 2013 Springer Science+Business Media New York.",Adoption factors; B2B electronic commerce; Contextual variables; Information technology; Internet; Interorganizational information systems; Supply chain management,211,Electronic Commerce Research,2013
12,Kumar S.; Lim W.M.; Pandey N.; Christopher Westland J.,20 years of Electronic Commerce Research,"2021 marks the 20th anniversary of the founding of Electronic Commerce Research (ECR). The journal has changed substantially over its life, reflecting the wider changes in the tools and commercial focus of electronic commerce. ECR’s early focus was telecommunications and electronic commerce. After reorganization and new editorship in 2014, that focus expanded to embrace emerging tools, business models, and applications in electronic commerce, with an emphasis on the innovations and the vibrant growth of electronic commerce in Asia. Over this time, ECR’s impact and volume of publications have grown rapidly, and ECR is considered one of the premier journals in its discipline. This invited research summarizes the evolution of ECR’s research focus over its history. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.",Bibliographic coupling; Bibliometric analysis; Co-authorship analysis; Electronic commerce research; Performance analysis; Temporal keyword analysis,179,Electronic Commerce Research,2021
13,Schreiner M.; Fischer T.; Riedl R.,Impact of content characteristics and emotion on behavioral engagement in social media: literature review and research agenda,"We present a review of N = 45 studies, which deals with the effect of characteristics of social media content (e.g., topic or length) on behavioral engagement. In addition, we reviewed the possibility of a mediating effect of emotional responses in this context (e.g., arousing content has been shown to increase engagement behavior). We find a diverse body of research, particularly for the varying content characteristics that affect engagement, yet without any conclusive results. We therefore also highlight potential confounding effects causing such diverging results for the relationship between content characteristics and content engagement. We find no study that evaluates the mediating effect of emotional responses in the content—engagement relationship and therefore call for further investigations. In addition, future research should apply an extended communication model adapted for the social media context to guarantee rigorous research. © 2019, The Author(s).",Affective content; Content engagement; Content marketing; Emotional effect; Engagement behavior; Social media communication,178,Electronic Commerce Research,2021
14,Kunz M.M.; Bretschneider U.; Erler M.; Leimeister J.M.,An empirical investigation of signaling in reward-based crowdfunding,"Start-ups often face the challenge of a shortage of capital, the so-called funding gap, which can be overcome by raising small amounts of money from a large number of individuals. As crowdfunding suffers from a continuous rise in failure rates, the aim of this article is to contribute to the research concerning success factors in reward-based crowdfunding campaigns by focusing on signaling theory. Based on data retrieved from the crowdfunding platform Kickstarter, our results indicate that social ties, investment preparation and presentation, the supply of multiple rewards as well as endeavors to communicate and interact with the crowd positively influence the probability of success of a reward-based crowdfunding campaign. In contrast, the funding goal, a campaign’s runtime and the estimated time of delivery for the rewards have a negative impact on the successful completion of a campaign. © 2016, Springer Science+Business Media New York.",Crowdfunding; Data analysis; E-business; E-commerce; Signaling; Success factors,174,Electronic Commerce Research,2017
15,Joshi Y.; Lim W.M.; Jagani K.; Kumar S.,"Social media influencer marketing: foundations, trends, and ways forward","The increasing use and effectiveness of social media influencers in marketing have intrigued both academic scholars and industry professionals. To shed light on the foundations and trends of this contemporary phenomenon, this study undertakes a systematic literature review using a bibliometric-content analysis to map the extant literature where consumer behavior, social media, and influencer marketing are intertwined. Using 214 articles published in journals indexed by the Australian Business Deans Council (ABDC), Chartered Association of Business Schools (CABS), and Web of Science (WOS) from 2008 to 2021, this study unpacks the articles, journals, methods, theories, themes, and constructs (antecedents, moderators, mediators, and consequences) in extant research on social media influencer marketing. Noteworthily, the review highlighted that the major research streams in social media influencer marketing research involve parasocial interactions and relationships, sponsorship, authenticity, and engagement and influence. The review also revealed the prominent role of audience-, brand-, comparative-, content-, influencer-, social-, and technology-related factors in influencing how consumers react to social media influencer marketing. The insights derived from this one-stop, state-of-the-art review can help social media influencers and marketing scholars and professionals to recognize key characteristics and trends of social media influencer marketing, and thus, drive new research and social media marketing practices where social media influencers are employed and leveraged upon for marketing activities. © The Author(s) 2023.",Influencer; Influencer marketing; Social media; Social media influencer; Systematic literature review,170,Electronic Commerce Research,2025
16,Ma W.; Grafton R.Q.; Renwick A.,Smartphone use and income growth in rural China: empirical results and policy implications,"The diffusion of mobile information and communication technologies (ICTs) has important implications for rural economic development. Many studies have investigated the potential contributions of mobile ICTs to agricultural production and poverty reduction, but have failed to consider the wider income effects of the use of updated ICTs, such as smartphones. Our findings, based on household-level survey data from rural China and an endogenous switching regression model, indicate that gender, farmers’ education, farm size, and off-farm work participation are the main drivers of smartphone use. Further, we find that smartphone use increases farm income, off-farm income and household income substantially and there is a statistically significant difference in the income effects between male and female users of smartphones. Possible policy interventions from our findings include: (1) support to increase use of smartphones by households headed by women; and (2) a ‘win–win’ approach to rural development that includes improved hard (roads) and soft (education) infrastructure and encompasses the increased use of smartphones so as to increase both off-farm employment opportunities and farm and off-farm incomes. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Endogenous switching regression; Gender divide; Mobile ICTs; Rural incomes; Smartphone use,161,Electronic Commerce Research,2020
17,Gregg D.G.; Walczak S.,"The relationship between website quality, trust and price premiums at online auctions","This study measures the value of website quality in terms of its impact on trust, intention to transact and price premiums. Prior research on online auctions has focused on the use of reputation systems for building trust in online auction vendors and subsequently to generate price premiums. This study examines the extent to which trust can be induced by improving the quality of online auction listings. A survey of 701 eBay users is conducted which compares the price premiums of two nearly identical online auction businesses, one that has online auction listings with a perceived high quality and the other that has substantially lower perceived quality. Results of this study indicate that website quality can explain 49% of the variation in the trust for eBay sellers. In fact, it shows that sellers with good website quality are all perceived to be equally trustworthy regardless of their eBay reputation; whereas sellers with poor website quality are not perceived to be trustworthy even if they have a high eBay reputation score. The results also show that the trust resulting from increased website quality increases intention to transact and results in price premiums of 12% (on average) for sellers with higher quality listings. Theories from marketing, economics, and social psychology are used to explain why website quality induces trust in unknown vendors without providing any concrete evidence regarding the vendor's past history. © Springer Science+Business Media, LLC 2010.",Online auctions; Price premiums; Reputation; Trust; Website quality,157,Electronic Commerce Research,2010
18,Rout J.K.; Choo K.-K.R.; Dash A.K.; Bakshi S.; Jena S.K.; Williams K.L.,A model for sentiment and emotion analysis of unstructured social media text,"Sentiment analysis has applications in diverse contexts such as in the gathering and analysis of opinions of individuals about various products, issues, social, and political events. Understanding public opinion can help improve decision making. Opinion mining is a way of retrieving information via search engines, blogs, microblogs and social networks. Individual opinions are unique to each person, and Twitter tweets are an invaluable source of this type of data. However, the huge volume and unstructured nature of text/opinion data pose a challenge to analyzing the data efficiently. Accordingly, proficient algorithms/computational strategies are required for mining and condensing tweets as well as finding sentiment bearing words. Most existing computational methods/models/algorithms in the literature for identifying sentiments from such unstructured data rely on machine learning techniques with the bag-of-word approach as their basis. In this work, we use both unsupervised and supervised approaches on various datasets. Unsupervised approach is being used for the automatic identification of sentiment for tweets acquired from Twitter public domain. Different machine learning algorithms such as Multinomial Naive Bayes (MNB), Maximum Entropy and Support Vector Machines are applied for sentiment identification of tweets as well as to examine the effectiveness of various feature combinations. In our experiment on tweets, we achieve an accuracy of 80.68% using the proposed unsupervised approach, in comparison to the lexicon based approach (the latter gives an accuracy of 75.20%). In our experiments, the supervised approach where we combine unigram, bigram and Part-of-Speech as feature is efficient in finding emotion and sentiment of unstructured data. For short message services, using the unigram feature with MNB classifier allows us to achieve an accuracy of 67%. © 2017, Springer Science+Business Media New York.",Bag-of-words; Laplace smoothing; Lexicon; Machine learning; Parts-of-Speech (POS); Sentiment analysis,156,Electronic Commerce Research,2018
19,Mou J.; Shin D.-H.; Cohen J.F.,Trust and risk in consumer acceptance of e-services,"Consumers’ risk perception and trust are considered among the most important psychological states that influence online behavior. Despite the number of empirical studies that have explored the effects of trust and risk perceptions on consumer acceptance of e-services, the field remains fragmented and the posited research models are contradictory. To address this problem, we examined how trust and risk influence consumer acceptance of e-services through a meta-analysis of 67 studies, followed by tests of competing causal models. The findings confirm that trust and risk are important to e-services acceptance but that trust has a stronger effect size. We found that certain effect sizes were moderated by factors such as the consumer population under study, the type of e-service, and the object of trust under consideration. The data from the meta-analysis best supports the causal logic that positions trust as antecedent to risk perceptions. Risk partially mediates the effects of trust on acceptance. © 2015, Springer Science+Business Media New York.",Electronic service; Meta-analysis; Risk; Trust,156,Electronic Commerce Research,2017
20,Guo Y.; Barnes S.,Virtual item purchase behavior in virtual worlds: An exploratory investigation,"Virtual worlds, such as Second Life, World of Warcraft and Everquest, have demonstrated huge economic potential. In such virtual worlds, virtual items are bought and sold between individuals for real money. However, little empirical research has been conducted into players' purchase behavior in virtual worlds. To help us gain a better understanding of factors influencing purchase behavior in virtual worlds, we embarked on an exploratory study. Four focus groups were conducted with 24 participants, selected according to demographic and experiential characteristics. Preliminary empirical evidence suggests that factors including effort expectancy, character competency, the quality of the virtual world system, social influence, virtual item resources, personal real resources, performance expectancy, and self-actualization are important for predicting virtual item purchase behavior in virtual worlds. The results showed that virtual item purchase behavior in virtual worlds has considerable variability involving a range of factors at different stages. © Springer Science+Business Media, LLC 2009.",Focus groups; Model; Qualitative study; Transactions; Virtual world,152,Electronic Commerce Research,2009
21,Taylor D.G.; Davis D.F.; Jillapalli R.,Privacy concern and online personalization: The moderating effects of information control and compensation,"Firms have at their disposal an increasing amount of personal information about consumers gathered through various means. Studies find that personalizing online interactions improves customer relationships and increases desirable behaviors, such as positive word-of-mouth and increased purchase intent. However, other research suggests that the use of personal information stimulates privacy concern, which has a negative effect on behavior. This study examines potential moderators of the negative effects of privacy concern on behavioral intentions in the context of personalized online interactions. Results show that increasing perceived information control reduces the negative effect of privacy concern on intentions to engage in positive behaviors. In contrast, the offer of compensation has no effect on the relationship between privacy concern and these behavioral intentions. However, compensation increases the salience of trust to privacy concern. © Springer Science+Business Media, LLC 2009.",Compensation; Implicit data collection; Information control; Online trust; Personalization; Privacy concern,142,Electronic Commerce Research,2009
22,Jeffrey S.A.; Hodge R.,Factors influencing impulse buying during an online purchase,"Using actual purchasing behavior by visitors to a High School Reunion web store, this study examines the factors that lead to an increased willingness by on-line consumers to purchase impulse items. Consistent with mental accounting and the psychophysics of prices, we find that people's purchase of the impulse item increases with the total amount spent on other items. We also find that linking a US $1 donation to the impulse item, thereby providing a reason to purchase, increases the frequency of the impulse purchase. © Springer Science+Business Media, LLC 2007.",E-commerce; Impulse buying; Mental accounting; Reason based choice,140,Electronic Commerce Research,2007
23,Hsieh J.-K.; Hsieh Y.-C.; Tang Y.-C.,Exploring the disseminating behaviors of eWOM marketing: Persuasion in online video,"The effectiveness of electronic word-of-mouth (eWOM) communication has attracted increasing attention from marketing practitioners, but relatively few studies focus on the dissemination of eWOM communication from a message perspective. Online video is a prominent form of marketing promotion, yet again, little is known about which factors make online video engaging or how they influence recipients' forwarding intentions. This study adopts Lasswell's communication model to investigate the persuasiveness of online video and uses the source, content, and channel dimensions to examine three potentially influential factors: awareness of persuasive intent, perceived humor, and multimedia effect. Awareness of persuasive intent exerts a negative influence, whereas the humor and multimedia effects have positive influences on both attitude toward a received online video and forwarding intentions. Therefore, e-marketers should reshape video clips to be humorous, use multimedia effects, and disguise their commercial intent to attract recipients' attention and persuade them to disseminate an online video. © 2012 Springer Science+Business Media, LLC.",eWOM; Humor; Multimedia effect; Online video; Persuasive intent; Viral marketing,138,Electronic Commerce Research,2012
24,Nie P.; Ma W.; Sousa-Poza A.,The relationship between smartphone use and subjective well-being in rural China,"Due to the popularization of the Internet in rural China, mobile Internet use has become an essential part of rural residents’ lives and work. No studies, however, have investigated the potential effect of smartphone use on quality of life among rural residents in China. This study thus applies ordinary least squared, conditional quantile and instrumental variable techniques to survey data for 493 rural Chinese households to assess the impact of smartphone use (SU) on their subjective well-being (SWB). The results reveal an association between SU and increases in both life satisfaction and happiness that remains even after we adjust for possible endogeneity. The analysis also indicates that SU intensity is associated with lower levels of both SWB measures, especially when it exceeds 3 h per day. Quantile estimates further indicate that in both participation and intensity, SU has a much greater impact on SWB at the median level of the SWB distribution. Our multiple mediation results show that the positive SU–SWB linkage is partially mediated by both farm income and off-farm income. This may suggest that the local government should invest in Internet infrastructure to promote agricultural activities and develop specific rural services to boost farm income via better access to information of agricultural production and market networks. Mobile information and communication technologies can also provide more opportunities for rural entrepreneurship and innovation, in particular by motivating young farmers to actively engage in rural e-business ventures which can raise off-farm income. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Happiness; Life satisfaction; Rural China; Smartphone use,134,Electronic Commerce Research,2021
25,Al-Qudah A.A.; Al-Okaily M.; Alqudah G.; Ghazlat A.,Mobile payment adoption in the time of the COVID-19 pandemic,"Current situation in COVID-19 pandemic as well as the significant digital transformation, where the whole world is being forced to participate, are lead for a wide acceptance to use the mobile payments. The main objective for the current study is to focus on analysing the primary variable “intention to use” through the Apple Wallet mobile payment system “apple wallet app” in United Arab Emirates (UAE), in addition to defining a context and evaluating the various antecedents of its use. The main variables that addressed by the current study are ability to use (skilfulness), perceived usefulness, convenience of the system, perceived risk and the primary variable that mentioned before was intention to use. To conduct the study, we invited 422 respondents to an online survey, and we have used a structural equation modelling analysis. The results indicate that mobile user skilfulness is the variable that most influences the intention to use the proposed payment system, followed by perceived usefulness and convenience of the system, while the perceived risk has a weak negative relationship with intention to use mobile payment via apple wallet app in the light of high Cybersecurity Index in the UAE. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022.",Apple wallet app; COVID-19 pandemic; Digital transformation; E42; Information society; International Telecommunication Union; J33; L86; Mobile payment,132,Electronic Commerce Research,2024
26,Cui Y.; Mou J.; Liu Y.,Knowledge mapping of social commerce research: a visual analysis using CiteSpace,"Social commerce has rapidly developed as a new area in electronic commerce field and has risen the attention of both researchers and practitioners. This paper investigated the intellectual structure, development, and evolution of social commerce quantitatively to provide a systematic review of the current state of the social commerce literature. We used a visualization tool called CiteSpace and mapped our result into the I-model for classification. According to 503 articles focusing on social commerce with associated 12,089 references, we have identified the most influential authors, institutions, publications, keywords, and references in this field, as well as the hot topics and future trends. In addition, we have developed the visual network of these research elements through CiteSpace for a deep level analysis, especially for future research trends prediction. Finally, our combination of bibliometric methods and a systematic review makes for a better understanding in the development of social commerce for both researchers and practitioners. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",CiteSpace; Knowledge mapping; Research trends; Social commerce,132,Electronic Commerce Research,2018
27,Klein K.; Martinez L.F.,The impact of anthropomorphism on customer satisfaction in chatbot commerce: an experimental study in the food sector,"Food retailers are lagging behind other industries in implementing innovative mobile solutions offering their services and purchasing processes on their online platforms. Chatbots can be leveraged as an application to provide customer-centric services while retailers benefit from collecting consumer data. Previous literature on chatbot technology provides evidence that human characteristics enhance the customer experience. This is the first experimental study to investigate consumer attitudes and satisfaction with anthropomorphic chatbots in food e-commerce. A sample of 401 participants was tested to verify the proposed hypotheses. The test group interacted with a standard chatbot without human-like characteristics, while the control group communicated with the anthropomorphically designed agent. The results confirm the vast potential of anthropomorphic cues in chatbot applications and show that they are positively associated with customer satisfaction and mediated by the variables enjoyment, attitude, and trust. The findings suggest that to remain competitive, food retailers should immediately adopt innovative technologies for their omnichannel strategy and incorporate anthropomorphic design cues. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Anthropomorphism; Chatbot; Consumer behavior; Conversational commerce; Customer experience; Customer satisfaction; e-commerce,126,Electronic Commerce Research,2023
28,Lissitsa S.; Kol O.,Four generational cohorts and hedonic m-shopping: association between personality traits and purchase intention,"In retailing, it is recognized that prominent differences exist between generational cohorts. As such, analysis of varying patterns of personality traits and their effects between generations is essential for understanding consumer behaviors. This research focuses on the association between the Big Five personality traits and m-shopping intentions of hedonic products among four generational cohorts: baby boomers and Generations X, Y, and Z. Generational cohort theory, the Big Five Personality Model, and resistance to innovations theory are integrated in a theoretical framework. The research was conducted by online survey of 1241 Internet users aged 14–72. Different patterns of effects of personality traits between generations were found. For baby boomers and Generation X, a positive association between openness to experience and m-shopping intention was found. Moreover, in these generations, personality traits were more powerful in predicting m-shopping intention, compared to younger generations. Among Generation Y, extraversion was positively correlated with m-shopping intention. Among Generation Z, a negative correlation between agreeableness and m-shopping intention was found. Based on our findings, we propose a generational approach to marketing strategy and suggest specific practical implications. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Baby boomers; Generation X; Generation Y; Generation Z; Hedonic products; Personality traits,126,Electronic Commerce Research,2021
29,Tsao W.-C.; Hsieh M.-T.,eWOM persuasiveness: do eWOM platforms and product type matter?,"Electronic word-of-mouth (eWOM) has a powerful influence on consumers’ purchase decisions. This influence varies with the source of the eWOM and product type. This study investigated how eWOM quality influences eWOM credibility and purchase intention and how this influence is moderated by the type of eWOM platform and product type. An experimental design was adopted, in which scenarios were manipulated to facilitate the collection of information. The results show that the type of eWOM platform moderates the influence of eWOM quality on eWOM credibility and purchase intention, and this phenomenon is particularly significant in search goods. These also further confirm that eWOM credibility is a partial mediator between eWOM quality and purchase intention. This study confirms the importance of establishing user-oriented online reply systems. The findings also demonstrate the degree to which the type of eWOM platform management mechanism influences the corporate management of eWOM. Furthermore, findings suggest a number of eWOM management mechanisms based on ethical marketing standards. © 2015, Springer Science+Business Media New York.",Credence goods; eWOM platform; eWOM quality; Online consumer reviews; Product type,120,Electronic Commerce Research,2015
30,Chen M.-Y.; Teng C.-I.,A comprehensive model of the effects of online store image on purchase intention in an e-commerce environment,"The aim of this study is to identify structural relationships between aspects of online store image and purchase intention. Responses from 211 website visitors were analyzed using structural equation modeling (SEM) to examine the research hypotheses. The results demonstrated that enjoyment and familiarity are predictors of ease-of-use and settlement performance, respectively. Settlement performance and usefulness are positively related to purchase intention. The results provide some suggestions for online store owners to help them arrange budget priorities for website design. Moreover, it is important to manage image familiarity for an online store through image-enhancing techniques, such as advertising and publicity. © 2013 Springer Science+Business Media New York.",Online store image; Purchase intention; Settlement performance; Structural equation modeling; Technology acceptance model; Usefulness,119,Electronic Commerce Research,2013
